HospitalName,Address 1,Address 2,City,State,ZIP Code,County Name,Phone Number,ha-mort
ABBEVILLE GENERAL HOSPITAL,118 N HOSPITAL DR,,ABBEVILLE,LA,70510,VERMILION,3378986501,Not Available
ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIRCLE,,ABBEVILLE,SC,29620,ABBEVILLE,8643665011,Not Available
AVERA ST LUKES,305 S STATE ST,,ABERDEEN,SD,57401,BROWN,6056225000,13
DAKOTA PLAINS SURGICAL CENTER LLP,701 8TH AVENUE NW SUITE C,,ABERDEEN,SD,57401,BROWN,6052253300,Not Available
GRAYS HARBOR COMMUNITY HOSPITAL,915 ANDERSON DRIVE,,ABERDEEN,WA,98520,GRAYS HARBOR,3605328330,18.6
MEMORIAL HOSPITAL,511 NE 10TH ST,,ABILENE,KS,67410,DICKINSON,7852636610,Not Available
HENDRICK MEDICAL CENTER,1900 PINE,,ABILENE,TX,79601,TAYLOR,3256702000,15.6
ABILENE REGIONAL MEDICAL CENTER,6250 HWY 83/84,,ABILENE,TX,79606,TAYLOR,3254281000,17.2
JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,,ABINGDON,VA,24211,WASHINGTON,2762581000,14.3
ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,,ABINGTON,PA,19001,MONTGOMERY,2154812000,14.3
ESSENTIA HEALTH ADA,201 9TH STREET WEST,,ADA,MN,56510,NORMAN,2187845000,Not Available
VALLEY VIEW REGIONAL HOSPITAL,430 NORTH MONTA VISTA,,ADA,OK,74820,PONTOTOC,5804216074,14.2
CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD,,ADA,OK,74820,PONTOTOC,5804363980,Not Available
