Provider Number,Hospital Name,State,ZIP Code,County Name,heart attack,heart failure,Pneumonia
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,36301,HOUSTON,14.3,11.4,10.9
10005,MARSHALL MEDICAL CENTER SOUTH,AL,35957,MARSHALL,18.5,15.2,13.9
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,35631,LAUDERDALE,18.1,11.3,13.4
10007,MIZELL MEMORIAL HOSPITAL,AL,36467,COVINGTON,Not Available,13.6,14.9
10008,CRENSHAW COMMUNITY HOSPITAL,AL,36049,CRENSHAW,Not Available,13.8,15.8
10010,MARSHALL MEDICAL CENTER NORTH,AL,35976,MARSHALL,Not Available,12.5,8.7
10011,ST VINCENT'S EAST,AL,35235,JEFFERSON,17.7,10.9,16.2
10012,DEKALB REGIONAL MEDICAL CENTER,AL,35968,DE KALB,18,16.6,15.8
10016,SHELBY BAPTIST MEDICAL CENTER,AL,35007,SHELBY,15.9,13.6,10.7
10018,CALLAHAN EYE FOUNDATION HOSPITAL,AL,35233,JEFFERSON,Not Available,Not Available,Not Available
10019,HELEN KELLER MEMORIAL HOSPITAL,AL,35660,COLBERT,19.6,12.6,15
10021,DALE MEDICAL CENTER,AL,36360,DALE,17.3,11.8,9.9
10022,CHEROKEE MEDICAL CENTER,AL,35960,CHEROKEE,Not Available,12.1,14.7
10023,BAPTIST MEDICAL CENTER SOUTH,AL,36116,MONTGOMERY,17.8,11.8,14.3
10024,JACKSON HOSPITAL & CLINIC INC,AL,36106,MONTGOMERY,17.5,10.2,14.7
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,AL,36854,CHAMBERS,15.4,8.8,10.3
10027,ELBA GENERAL HOSPITAL,AL,36323,COFFEE,Not Available,Not Available,12
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,36801,LEE,16.3,12.9,12.1
10032,WEDOWEE HOSPITAL,AL,36278,RANDOLPH,Not Available,10.4,13.9
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,35233,JEFFERSON,15,12.5,12.7
10034,COMMUNITY HOSPITAL INC,AL,36078,ELMORE,17.1,12.3,11.6
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,35058,CULLMAN,17.1,12.1,12.1
10036,ANDALUSIA REGIONAL HOSPITAL,AL,36420,COVINGTON,Not Available,10.1,11.1
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,36201,CALHOUN,16.4,12,12
10039,HUNTSVILLE HOSPITAL,AL,35801,MADISON,15.2,12.4,14.1
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,35903,ETOWAH,16.7,10.7,14.6
